prediction;test_price
23126.04;23175.0
23109.07;23163.0
23114.98;23189.0
23084.64;23168.0
23078.94;23202.5
23029.87;23256.5
22905.64;23209.5
22843.0;23211.5
22786.3;23227.5
22717.59;23207.5
22676.78;23213.5
22640.64;23224.0
22595.51;23258.5
22507.32;23248.5
22424.3;23289.5
22299.02;23234.0
22263.46;23220.5
22256.86;23298.0
22178.84;23233.5
22187.23;23216.5
22229.39;23242.5
22252.48;23229.0
22286.92;23200.0
22362.21;23144.0
22498.07;23163.0
22623.54;23092.5
22804.93;23089.0
22997.42;23169.5
23092.35;23162.5
23161.74;22978.0
23346.72;22942.5
23574.86;22916.5
23822.93;22888.0
24081.98;22925.5
24303.02;22899.5
24513.34;22870.0
24711.98;22864.5
24894.2;22797.5
25081.43;22838.0
25229.68;22787.5
25368.87;22825.5
25455.3;22822.5
25500.16;22956.5
25424.22;22965.0
25290.94;23039.5
25064.66;23020.5
24823.59;22996.0
24580.86;22981.5
24356.7;22977.0
24150.21;22981.5
23956.7;22995.5
23757.41;22956.0
23591.9;23071.0
23358.17;23158.0
23068.48;23188.5
22763.85;23224.0
22426.15;23270.0
22061.4;23043.5
21937.81;23037.5
21862.41;22990.5
21865.17;22932.5
21910.6;23008.0
21912.44;23074.0
21844.04;23389.0
21713.89;23376.0
21567.55;23386.5
21416.32;23360.5
21287.14;23275.5
21217.59;23184.0
21244.01;23185.5
21298.95;23211.0
21358.35;23180.5
21443.06;23125.0
21567.31;23122.0
21706.74;23160.5
21828.65;23138.5
21957.65;23142.5
22084.18;23142.5
22203.12;23120.5
22333.26;23123.5
22451.92;23238.5
22490.9;23180.0
22553.18;23195.0
22601.91;23186.0
22648.8;23191.0
22686.62;23271.0
22669.07;23229.5
22669.62;23236.0
22655.04;23268.0
22567.93;23179.0
22593.12;23083.0
22718.16;23061.0
22878.15;23081.0
23032.33;23141.5
23138.91;23121.0
23239.33;23162.0
23291.61;23186.5
23291.57;23158.5
23308.3;23133.0
23340.2;23157.0
23330.57;23036.5
23411.37;23029.5
23516.6;23051.0
23586.94;22955.0
23727.16;22872.5
23902.24;22869.0
24079.8;22743.0
24318.87;22647.5
24605.58;22646.0
24897.92;22617.0
25188.11;22632.5
25448.31;22619.5
25682.74;22630.5
25873.31;22602.5
26037.81;22624.0
26154.97;22598.5
26244.07;22620.0
26281.54;22611.0
26291.94;22587.5
26284.8;22540.0
26279.39;22467.0
26292.59;22484.0
26291.15;22521.0
26242.28;22518.5
26168.9;22496.5
26087.5;22501.5
25993.41;22518.5
25872.23;22503.0
25749.09;22484.5
25631.64;22440.0
25536.22;22463.0
25419.15;22575.5
25190.14;22593.5
24913.39;22531.5
24663.29;22515.5
24422.7;22578.0
24147.65;22453.5
23937.07;22620.0
23677.33;22583.0
23444.43;22629.0
23193.26;22584.0
22969.03;22575.0
22693.38;22837.5
22387.68;22909.5
22075.26;22934.5
21751.59;22915.5
21448.55;22800.5
21249.61;22846.0
21074.41;22868.5
20913.88;22910.5
20754.22;22837.0
20654.06;22861.5
20565.77;22939.5
20477.69;23015.5
20367.85;23073.0
20236.67;22924.5
20249.7;22926.5
20289.4;22884.0
20380.73;22864.5
20500.54;22838.5
20635.35;22816.0
20794.31;22868.5
20952.91;22897.5
21095.24;22876.0
21230.97;22829.5
21402.47;22856.0
21558.33;22849.0
21705.83;22915.5
21808.44;22914.0
21891.45;22864.0
22006.44;22833.5
22127.09;22879.5
22224.67;22836.0
22347.7;22795.0
22484.58;22839.5
22592.69;22911.5
22646.36;22858.5
22713.61;22930.0
22736.35;22977.5
22715.49;23000.0
22661.38;22975.5
22609.08;22932.0
22589.76;22922.0
22568.24;22851.5
22583.73;23125.0
22501.04;23108.5
22419.8;23080.0
22350.43;23055.0
22297.45;23073.5
22236.89;23080.0
22177.08;23116.0
22101.45;23125.0
22021.43;23135.0
21934.88;23079.5
21909.11;23059.0
21914.72;23020.5
21967.64;23067.0
22004.07;23120.0
22012.25;23114.5
22019.19;23165.5
21986.38;23093.5
22015.09;23117.0
22040.12;23188.5
22015.13;23100.0
22060.38;23055.0
22142.29;22992.0
22289.32;22969.0
22459.05;22978.5
22621.04;22830.0
22869.93;22813.0
23142.55;22785.0
23428.16;22768.5
23703.42;22750.0
23966.34;22928.5
24096.92;22995.5
24138.38;23084.5
24073.66;23257.5
23907.69;23261.0
23699.99;23310.0
23448.16;23291.5
23193.34;23266.5
22954.13;23308.0
22712.62;23306.0
22470.25;23308.5
22246.75;23366.0
22019.45;23445.5
21779.98;23502.5
21531.83;23440.5
21360.16;23438.5
21213.6;23470.5
21078.82;23476.5
20962.05;23478.5
20862.26;23384.0
20866.81;23435.0
20883.09;23465.5
20896.62;23510.0
20878.88;23421.5
20963.46;23426.5
21046.65;23425.0
21157.39;23360.5
21342.48;23293.0
21588.17;23343.5
21813.4;23360.5
22023.95;23340.0
22239.05;23325.0
22448.0;23291.0
22670.27;23245.5
22906.78;23341.0
23067.99;23396.5
23165.07;23336.0
23282.35;23302.5
23404.77;23272.0
23547.92;23317.0
23658.68;23255.0
23776.52;23345.5
23815.86;23426.0
23744.59;23449.0
23685.91;23387.0
23674.28;23373.5
23675.12;23398.5
23647.84;23359.5
23628.83;23389.5
23604.6;23403.0
23559.34;23378.0
23528.91;23411.5
23471.65;23365.5
23450.89;23344.5
23454.21;23313.0
23484.33;23334.5
23497.4;23281.5
23553.21;23210.0
23671.9;23173.5
23818.34;23125.0
23990.03;22969.5
24242.26;22993.5
24499.8;23017.5
24735.64;22975.5
24965.57;23017.0
25141.62;22989.5
25298.86;23015.5
25408.56;23000.5
25491.1;22900.0
25594.74;22921.5
25668.3;22859.5
25752.99;22803.0
25850.53;22816.5
25933.67;22824.0
25996.47;22850.0
26014.47;22839.5
26011.32;22845.0
25982.83;22810.0
25952.8;22811.5
25912.8;22844.0
25826.05;22763.5
25763.35;22784.5
25680.11;22735.5
25611.5;22819.0
25469.92;22793.0
25323.34;22784.5
25176.99;22753.5
25049.19;22723.5
24941.16;22783.5
24786.68;22777.5
24633.01;22807.5
24440.39;22942.0
24153.51;22972.0
23826.13;23059.0
23449.8;23016.0
23106.99;23063.5
22758.4;23089.5
22412.25;23102.0
22079.34;23036.0
21839.62;23087.5
21602.46;23080.0
21392.36;23018.0
21277.89;22979.0
21231.95;23007.0
21197.61;23016.0
21177.45;23023.5
21164.46;23030.5
21156.52;22993.0
21195.12;22930.5
21301.33;23049.0
21339.1;23064.0
21351.41;22901.5
21462.97;22967.5
21558.61;23129.0
21584.4;23162.5
21583.73;23259.0
21524.05;23181.0
21498.76;23174.5
21470.54;23280.5
21404.65;23342.0
21308.35;23360.5
21206.74;23349.0
21078.06;23317.5
20981.14;23080.0
21092.71;22962.0
21307.65;22953.5
21558.6;22863.5
21851.38;22866.0
22149.5;23008.5
22353.15;22937.5
22528.43;23070.0
22666.32;22758.5
22903.11;22788.5
23142.34;22776.0
23370.68;22788.0
23590.42;22822.5
23763.87;22728.5
23927.59;22783.5
24053.99;22846.5
24125.59;22843.5
24166.93;22865.5
24166.16;22893.0
24116.3;22879.5
24050.71;22858.0
23980.99;22841.5
23915.82;22791.5
23878.0;22761.5
23858.96;22799.0
23815.52;22701.5
23814.38;22674.5
23828.75;22731.0
23800.43;22819.0
23731.57;22803.0
23654.97;22850.0
23541.02;22826.5
23425.02;22809.5
23317.91;22877.0
23163.85;22808.0
23051.81;22765.0
22973.6;22822.0
22881.47;22869.5
22772.66;22898.0
22650.72;22882.0
22537.86;22877.0
22430.16;22845.5
22357.62;22882.0
22275.19;22868.5
22210.47;22869.5
22151.08;22859.0
22107.76;22756.5
22149.62;22806.0
22182.39;22861.0
22182.12;22845.5
22184.88;22873.0
22170.3;22824.0
22184.68;22809.5
22214.88;22913.0
22184.9;22920.0
22116.09;22984.5
22025.2;23000.5
21914.17;22984.0
21814.06;23018.5
21692.8;23150.0
21511.93;23222.0
21297.87;23176.0
21126.38;23199.0
20951.96;23292.0
20749.68;23368.0
20528.52;23250.0
20433.14;23313.5
20348.3;23341.0
20268.57;23359.5
20172.84;23150.0
20268.36;23066.0
20453.05;22975.0
20713.61;22961.5
21003.24;23012.0
21284.93;23003.0
21562.91;23044.5
21809.09;23087.0
22012.99;23117.0
22170.0;23011.5
22367.15;23008.0
22559.07;22988.0
22759.23;22948.0
22970.32;22908.0
23195.8;22937.5
23387.58;22980.0
23544.09;22950.0
23686.19;22866.0
23848.48;22899.0
23985.04;22990.0
24049.71;22957.5
24089.24;22915.0
24112.56;22967.5
24090.96;23155.5
23965.39;23187.0
23801.95;23192.0
23602.1;23231.5
23377.71;23203.0
23158.18;23320.0
22907.22;23297.0
22676.49;23353.5
22427.24;23418.5
22157.64;23417.5
21891.9;23381.5
21687.08;23308.5
21554.51;23424.5
21372.94;23232.0
21366.53;23160.5
21434.17;23076.0
21598.29;23035.0
21812.29;23120.0
22012.72;23160.5
22184.23;23188.5
22334.89;23171.5
22472.37;23213.0
22571.46;23185.0
22663.87;23114.5
22768.84;22998.5
22936.34;23025.5
23094.11;23045.0
23229.27;23245.5
23288.83;23252.5
23314.11;23296.0
23288.78;23335.5
23216.92;23320.5
23134.15;23323.0
23036.82;23276.0
22968.26;23278.0
22905.89;23316.0
22823.73;23311.0
22745.99;23308.5
22670.28;23258.0
22646.95;23133.5
22721.78;23200.5
22787.83;23223.0
22845.73;23191.5
22917.4;23162.0
22993.46;23295.0
23009.51;23322.0
22992.64;23294.5
22977.23;23353.0
22924.22;23342.0
22869.25;23383.0
22787.78;23393.5
22695.45;23378.0
22614.64;23359.5
22555.99;23369.5
22495.94;23318.0
22493.93;23313.5
22509.49;23378.5
22491.86;23408.5
22449.37;23382.0
22427.67;23411.0
22389.87;23420.0
22343.04;23410.0
22309.96;23416.0
22275.08;23415.5
22242.45;23370.0
22272.38;23357.5
22330.63;23342.5
22414.83;23343.5
22504.02;23271.5
22664.2;23290.5
22816.81;23397.0
22863.42;23333.0
22946.53;23308.0
23045.44;23377.5
23077.37;23288.0
23161.62;23324.0
23212.74;23431.5
23194.51;23581.0
23087.78;23640.0
22921.11;23746.0
22703.49;23781.0
22446.21;23788.0
22186.94;23796.0
21931.42;23789.5
21694.79;23864.0
21452.37;23827.0
21266.06;23880.5
21082.29;23840.0
20961.7;23882.5
20827.24;23739.5
20852.84;23682.5
20875.33;23654.0
20978.56;24109.0
20949.41;23727.0
21147.07;23723.5
21375.3;23721.5
21616.62;23742.0
21846.79;23757.0
22060.58;23799.0
22241.24;23749.5
22424.87;23765.5
22593.84;23758.5
22755.96;23747.0
22914.42;23711.5
23080.67;23656.0
23269.25;23712.5
23425.89;23636.5
23598.08;23772.5
23713.35;23676.5
23851.27;23705.5
23969.25;23742.0
24049.84;23704.0
24126.53;23744.5
24178.68;23800.5
24185.55;23746.5
24204.5;23761.0
24210.16;23791.5
24190.73;23787.0
24159.54;23782.5
24126.12;23750.0
24110.85;23794.0
24062.23;23817.0
23994.46;23764.0
23967.34;23773.0
23941.37;23747.0
23940.73;23745.0
23948.11;23712.0
23983.64;23676.5
24050.42;23621.0
24161.17;23586.5
24300.88;23658.5
24391.63;23696.0
24436.8;23649.0
24489.18;23710.5
24489.26;23714.5
24468.45;23765.0
24399.47;23795.0
24292.3;23768.5
24192.38;23735.5
24119.78;23739.5
24050.77;23707.5
24014.75;23696.0
23996.11;23770.0
23925.42;23720.5
23887.28;23784.0
23806.43;23790.0
23715.61;23772.0
23636.33;23799.0
23540.69;23727.0
23511.64;23734.0
23494.57;23714.0
23500.37;23738.5
23498.1;23775.5
23464.62;23785.0
23417.8;23764.0
23387.46;23768.0
23355.29;23806.5
23279.23;23712.0
23301.99;23717.0
23338.37;23746.0
23360.37;23706.0
23418.5;23734.5
23453.61;23720.0
23488.81;23657.0
23581.7;23640.0
23692.79;23629.5
23826.98;23592.5
23987.3;23550.5
24171.76;23637.0
24278.8;23687.5
24312.77;23710.0
24293.26;23646.5
24292.7;23587.0
24299.63;23852.5
24182.43;23936.5
23996.46;23901.5
23801.74;23892.5
23602.95;23945.0
23375.89;24027.5
23112.59;23954.5
22903.9;23828.5
22795.94;23914.0
22661.69;24088.0
22478.72;24414.5
22246.71;24425.5
22004.98;24505.0
21750.27;24542.0
21492.27;24536.5
21253.02;24495.5
21068.85;24488.5
20921.2;24472.0
20816.3;24495.5
20735.56;24574.0
20661.9;24577.0
20607.67;24488.0
20651.88;24517.0
20717.82;24462.0
20840.78;24509.5
20969.62;24541.0
21103.07;24500.0
21271.24;24416.0
21517.17;24338.5
21821.47;24462.5
22095.07;24538.5
22329.86;24504.5
22554.41;24477.0
22787.53;24511.5
22984.13;24517.5
23155.7;24484.0
23249.21;24363.0
23479.19;24190.5
23815.62;24155.0
24207.92;23981.5
24689.9;23942.0
25193.33;24013.0
25635.92;23898.0
26072.91;23832.0
26502.74;23806.0
26905.88;23780.0
27273.05;23811.5
27571.7;23765.0
27822.0;23901.0
27954.4;23912.0
28010.24;23889.5
28012.78;23903.5
27959.88;23881.0
27870.36;23892.0
27743.77;23872.5
27595.03;23839.5
27450.15;23864.0
27280.27;23855.5
27103.53;23865.0
26907.86;23838.0
26722.2;23801.5
26561.34;23757.0
26430.61;23822.0
