actual,predicted
62550.0,62617.28436541557
62619.1,62554.280054569244
62702.40000000001,62623.38478281498
62686.8,62706.69048271179
62693.99999999999,62691.089415264134
62811.7,62698.28990793228
62888.0,62815.99796168804
62705.2,62892.30318260193
62597.2,62709.49067430496
62718.00000000001,62601.48328428268
62639.99999999999,62722.291550159454
62588.3,62644.28621292114
62581.50000000001,62592.58267529011
62525.9,62585.78220999241
62472.09999999999,62530.17840549946
62443.1,62476.37472417355
62270.1,62447.37273981571
62460.7,62274.36090209484
62499.0,62464.973944115634
62555.6,62503.2765648365
62588.1,62559.880437755586
62651.700000000004,62592.38266160488
62784.30000000001,62655.987013506885
62882.2,62788.596086812024
62792.9,62886.50278573036
62773.0,62797.196675276755
62737.6,62777.295313596725
63288.69999999999,62741.88541240692
63647.99999999999,63293.02305635213
63856.0,63652.34759902954
63815.8,63860.36180686951
63776.4,63820.15906093121
63799.6,63780.74876689911
63837.4,63803.950348854065
63819.9,63841.75292634964
63604.4,63824.25173306465
63615.09999999999,63608.737038612366
63696.49999999999,63619.4377682209
63640.5,63700.84331870079
63447.6,63644.83950018883
63499.40000000001,63451.92634677887
63599.9,63503.729878902435
63614.9,63604.236731767654
63527.2,63619.23775458336
63440.5,63531.531774520874
63575.09999999999,63444.8258626461
63490.5,63579.43504071236
63372.0,63494.829272031784
63352.5,63376.32119178772
63458.49999999999,63356.819862127304
63517.8,63462.82709002495
63638.30000000001,63522.131133556366
63672.5,63642.63935017586
63560.8,63676.84168219566
63496.1,63565.13406562805
63420.0,63500.42965388298
63501.99999999999,63424.32446479797
63579.5,63506.33005619049
63582.7,63583.8353407383
63584.59999999999,63587.03555893898
63520.9,63588.935688495636
63351.2,63525.23134493828
63090.1,63355.51977348328
63183.3,63094.40196967125
63185.0,63187.60832476616
63046.6,63189.30844068527
62957.2,63050.89900350571
63000.1,62961.49290752411
62873.0,63004.39583277702
62900.5,62877.28716611862
62769.8,62904.78904128075
62860.2,62774.080129146576
63115.399999999994,62864.48629331589
63007.4,63119.703694820404
63072.6,63011.69633054733
62917.0,63076.90077638626
62858.6,62921.29016637802
62920.0,62862.886184215546
63095.4,62924.29037094116
63254.4,63099.70233106613
63426.0,63258.7131729126
63881.6,63430.324873924255
64173.80000000001,63885.95594024658
64175.6,64178.1758646965
63971.2,64179.97598743439
63754.4,63975.56204986572
63748.2,63758.74726676941
63672.4,63752.546844005585
63622.5,63676.74167537689
63526.6,63626.83827280998
63650.700000000004,63530.931733608246
63767.399999999994,63655.04019570351
63802.2,63771.748153209686
63687.6,63806.55052614212
63600.3,63691.94271183014
63716.40000000001,63604.63675904274
63808.59999999999,63720.74467563629
63481.4,63812.95096254349
63469.0,63485.72865152359
63160.0,63473.32780599594
62823.1,63164.30673599243
63323.99999999999,62827.38376355171
63191.49999999999,63328.317918777466
63203.09999999999,63195.80888390541
63344.0,63207.40967488289
63257.8,63348.31928253174
63131.0,63262.113404750824
63036.3,63135.30475854874
62995.2,63040.59830117226
63201.99999999999,62999.49549865723
63238.00000000001,63206.309599876404
63271.90000000001,63242.312054634094
63344.7,63276.214366197586
63225.9,63349.01933026314
63215.3,63230.21122956276
63030.0,63219.610506772995
62420.1,63034.29787158966
62598.3,62424.35628390312
62523.7,62602.56843495369
62460.5,62527.96334815025
62191.2,62464.75903868675
62322.6,62195.44067573547
62356.6,62326.849635601044
62499.3,62360.85195398331
62518.7,62503.56168437004
62492.2,62522.963007211685
62404.2,62496.461200237274
62612.2,62408.46263887882
62597.9,62616.47684671878
62540.0,62602.17586992979
62430.2,62544.271914958954
62512.30000000001,62434.46441485881
62749.899999999994,62516.570022857195
62654.8,62754.186252582076
62616.0,62659.07975659371
62625.6,62620.277106285095
62603.6,62629.87776203155
62624.6,62607.87625927925
62714.00000000001,62628.87769372463
